severity,graphicId,displayName,usage,maps,impact,category,semanticSuggested,semanticConfidence,visualCategory,visualConfidence,familySupport,neighborSupport,remasterEligible,remasterPriority,hasPreview,classicAssetPath,sourceTexturePath,sourceExt,sourceExists,sourceLoadsAsTexture,cropValid,cropInsideTexture,fallbackCandidates,issues,classificationReason,remasterReason
"OK",1,"GRH 1 (tex_1.png)",33177,9,33402,"Other","Other",0.940,"Road",1.000,1.000,1.000,0,0,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_1.asset","Assets/AOMigrator/WorldV06/Textures/tex_1.png",".png",1,1,1,1,1,"","Semántica: superficie casi negra/neutra; probable fondo/máscara técnica. Se excluye de Road y del remaster.","Excluir: técnico/Other/Unclassified."
"OK",6003,"GRH 6003 (tex_6000.png)",5729,13,6054,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5872,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6003.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6015,"GRH 6015 (tex_6000.png)",5679,13,6004,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5824,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6015.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6007,"GRH 6007 (tex_6000.png)",5671,13,5996,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5816,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6007.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6014,"GRH 6014 (tex_6000.png)",5667,13,5992,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5812,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6014.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6002,"GRH 6002 (tex_6000.png)",5663,13,5988,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5808,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6002.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6006,"GRH 6006 (tex_6000.png)",5595,13,5920,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5742,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6006.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6000,"GRH 6000 (tex_6000.png)",5586,13,5911,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5734,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6000.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6011,"GRH 6011 (tex_6000.png)",5572,13,5897,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5720,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6011.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6012,"GRH 6012 (tex_6000.png)",5547,13,5872,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5696,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6012.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6008,"GRH 6008 (tex_6000.png)",5515,13,5840,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5665,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6008.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6001,"GRH 6001 (tex_6000.png)",5498,13,5823,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5648,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6001.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6004,"GRH 6004 (tex_6000.png)",5497,13,5822,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5647,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6004.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6010,"GRH 6010 (tex_6000.png)",5445,13,5770,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5597,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6010.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6005,"GRH 6005 (tex_6000.png)",5428,13,5753,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5580,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6005.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6013,"GRH 6013 (tex_6000.png)",5414,13,5739,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5567,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6013.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6009,"GRH 6009 (tex_6000.png)",5287,13,5612,"Grass","Grass",0.970,"Grass",1.000,0.968,1.000,1,5444,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6009.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6000.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14290,"GRH 14290 (tex_5082.png)",1150,5,1275,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,1198,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14290.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",49556,"GRH 49556 (tex_5068_padded.asset)",982,8,1182,"Dirt","Dirt",0.940,"Dirt",1.000,0.863,1.000,1,1111,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_49556.asset","Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",".asset",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14288,"GRH 14288 (tex_5082.png)",1050,5,1175,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,1104,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14288.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14289,"GRH 14289 (tex_5082.png)",1040,5,1165,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,1095,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14289.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",49555,"GRH 49555 (tex_5068_padded.asset)",957,8,1157,"Dirt","Dirt",0.940,"Dirt",1.000,0.863,1.000,1,1088,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_49555.asset","Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",".asset",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",6333,"GRH 6333 (tex_6215.png)",816,13,1141,"Grass","Grass",0.960,"Grass",1.000,0.561,0.750,1,1095,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_6333.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_6215.png",".png",1,1,1,1,1,"","Semántica: Grass confirmada por señal visual + contexto.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",49553,"GRH 49553 (tex_5068_padded.asset)",935,8,1135,"Dirt","Dirt",0.940,"Dirt",1.000,0.863,1.000,1,1067,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_49553.asset","Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",".asset",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",49552,"GRH 49552 (tex_5068_padded.asset)",920,8,1120,"Dirt","Dirt",0.940,"Dirt",1.000,0.863,1.000,1,1053,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_49552.asset","Assets/AOMigrator/MapVisualV063/Generated/PaddedTextures/tex_5068_padded.asset",".asset",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14286,"GRH 14286 (tex_5082.png)",985,5,1110,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,1043,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14286.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14282,"GRH 14282 (tex_5082.png)",950,5,1075,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,1010,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14282.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14287,"GRH 14287 (tex_5082.png)",920,5,1045,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,982,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14287.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
"OK",14284,"GRH 14284 (tex_5082.png)",905,5,1030,"Dirt","Dirt",0.940,"Dirt",1.000,1.000,1.000,1,968,1,"Assets/AOMigrator/MapVisualV063/Generated/Sprites/GRH_14284.asset","Assets/AOMigrator/MapVisualV063/Textures/tex_5082.png",".png",1,1,1,1,1,"","Semántica: Dirt por color marrón + contexto de familia/mapas.","Apto: terreno semántico >=70%, fuente/crop válidos."
